trackId,initialFrame,finalFrame,Frame_nums,class
P1,0,343,344,pedestrain
P2,0,434,435,pedestrain
P3,19,41,23,pedestrain
P4,61,88,28,pedestrain
P5,186,581,396,pedestrain
P6,275,442,168,pedestrain
P7,288,1725,1438,pedestrain
P8,777,1162,386,pedestrain
P9,1329,1770,442,pedestrain
P10,1376,1441,66,pedestrain
P11,1499,1836,338,pedestrain
P12,1678,1720,43,pedestrain
P13,2017,2433,417,pedestrain
P14,2155,2403,249,pedestrain
P15,2376,2636,261,pedestrain
P16,2547,3012,466,pedestrain
P17,2692,2937,246,pedestrain
P18,2847,2916,70,pedestrain
P19,2785,3122,338,pedestrain
P20,3009,3071,63,pedestrain
P21,2970,3237,268,pedestrain
P22,3046,3695,650,pedestrain
P23,3046,3696,651,pedestrain
P24,3316,4095,780,pedestrain
P25,3320,4099,780,pedestrain
P26,3906,3993,88,pedestrain
P27,3981,4010,30,pedestrain
P28,4090,4144,55,pedestrain
P29,4021,4381,361,pedestrain
P30,4120,4130,11,pedestrain
P31,4142,4161,20,pedestrain
P32,4514,4528,15,pedestrain
P33,4562,4716,155,pedestrain
P34,4588,4716,129,pedestrain
